75 total cents, 0 Quarters, 0 Dimes, 0 Nickels, 75 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 1 Nickels, 70 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 2 Nickels, 65 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 3 Nickels, 60 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 4 Nickels, 55 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 5 Nickels, 50 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 6 Nickels, 45 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 7 Nickels, 40 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 8 Nickels, 35 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 9 Nickels, 30 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 10 Nickels, 25 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 11 Nickels, 20 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 12 Nickels, 15 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 13 Nickels, 10 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 14 Nickels, 5 Pennies, 
75 total cents, 0 Quarters, 0 Dimes, 15 Nickels, 0 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 13 Nickels, 0 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 12 Nickels, 5 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 11 Nickels, 10 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 11 Nickels, 0 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 10 Nickels, 15 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 10 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 10 Nickels, 0 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 9 Nickels, 20 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 9 Nickels, 10 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 9 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 9 Nickels, 5 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 8 Nickels, 25 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 8 Nickels, 15 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 8 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 1 Dimes, 8 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 8 Nickels, 10 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 7 Nickels, 30 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 7 Nickels, 20 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 7 Nickels, 10 Pennies, 
75 total cents, 0 Quarters, 4 Dimes, 7 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 1 Dimes, 7 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 7 Nickels, 15 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 6 Nickels, 35 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 6 Nickels, 25 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 6 Nickels, 15 Pennies, 
75 total cents, 0 Quarters, 4 Dimes, 6 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 2 Dimes, 6 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 1 Dimes, 6 Nickels, 10 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 6 Nickels, 20 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 5 Nickels, 40 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 5 Nickels, 30 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 5 Nickels, 20 Pennies, 
75 total cents, 0 Quarters, 4 Dimes, 5 Nickels, 10 Pennies, 
75 total cents, 0 Quarters, 5 Dimes, 5 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 2 Dimes, 5 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 1 Dimes, 5 Nickels, 15 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 5 Nickels, 25 Pennies, 
75 total cents, 2 Quarters, 0 Dimes, 5 Nickels, 0 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 4 Nickels, 45 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 4 Nickels, 35 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 4 Nickels, 25 Pennies, 
75 total cents, 0 Quarters, 4 Dimes, 4 Nickels, 15 Pennies, 
75 total cents, 0 Quarters, 5 Dimes, 4 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 3 Dimes, 4 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 2 Dimes, 4 Nickels, 10 Pennies, 
75 total cents, 1 Quarters, 1 Dimes, 4 Nickels, 20 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 4 Nickels, 30 Pennies, 
75 total cents, 2 Quarters, 0 Dimes, 4 Nickels, 5 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 3 Nickels, 50 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 3 Nickels, 40 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 3 Nickels, 30 Pennies, 
75 total cents, 0 Quarters, 4 Dimes, 3 Nickels, 20 Pennies, 
75 total cents, 0 Quarters, 5 Dimes, 3 Nickels, 10 Pennies, 
75 total cents, 0 Quarters, 6 Dimes, 3 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 3 Dimes, 3 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 2 Dimes, 3 Nickels, 15 Pennies, 
75 total cents, 1 Quarters, 1 Dimes, 3 Nickels, 25 Pennies, 
75 total cents, 2 Quarters, 1 Dimes, 3 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 3 Nickels, 35 Pennies, 
75 total cents, 2 Quarters, 0 Dimes, 3 Nickels, 10 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 2 Nickels, 55 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 2 Nickels, 45 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 2 Nickels, 35 Pennies, 
75 total cents, 0 Quarters, 4 Dimes, 2 Nickels, 25 Pennies, 
75 total cents, 0 Quarters, 5 Dimes, 2 Nickels, 15 Pennies, 
75 total cents, 0 Quarters, 6 Dimes, 2 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 4 Dimes, 2 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 3 Dimes, 2 Nickels, 10 Pennies, 
75 total cents, 1 Quarters, 2 Dimes, 2 Nickels, 20 Pennies, 
75 total cents, 1 Quarters, 1 Dimes, 2 Nickels, 30 Pennies, 
75 total cents, 2 Quarters, 1 Dimes, 2 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 2 Nickels, 40 Pennies, 
75 total cents, 2 Quarters, 0 Dimes, 2 Nickels, 15 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 1 Nickels, 60 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 1 Nickels, 50 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 1 Nickels, 40 Pennies, 
75 total cents, 0 Quarters, 4 Dimes, 1 Nickels, 30 Pennies, 
75 total cents, 0 Quarters, 5 Dimes, 1 Nickels, 20 Pennies, 
75 total cents, 0 Quarters, 6 Dimes, 1 Nickels, 10 Pennies, 
75 total cents, 0 Quarters, 7 Dimes, 1 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 4 Dimes, 1 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 3 Dimes, 1 Nickels, 15 Pennies, 
75 total cents, 1 Quarters, 2 Dimes, 1 Nickels, 25 Pennies, 
75 total cents, 2 Quarters, 2 Dimes, 1 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 1 Dimes, 1 Nickels, 35 Pennies, 
75 total cents, 2 Quarters, 1 Dimes, 1 Nickels, 10 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 1 Nickels, 45 Pennies, 
75 total cents, 2 Quarters, 0 Dimes, 1 Nickels, 20 Pennies, 
75 total cents, 0 Quarters, 1 Dimes, 0 Nickels, 65 Pennies, 
75 total cents, 0 Quarters, 2 Dimes, 0 Nickels, 55 Pennies, 
75 total cents, 0 Quarters, 3 Dimes, 0 Nickels, 45 Pennies, 
75 total cents, 0 Quarters, 4 Dimes, 0 Nickels, 35 Pennies, 
75 total cents, 0 Quarters, 5 Dimes, 0 Nickels, 25 Pennies, 
75 total cents, 0 Quarters, 6 Dimes, 0 Nickels, 15 Pennies, 
75 total cents, 0 Quarters, 7 Dimes, 0 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 5 Dimes, 0 Nickels, 0 Pennies, 
75 total cents, 1 Quarters, 4 Dimes, 0 Nickels, 10 Pennies, 
75 total cents, 1 Quarters, 3 Dimes, 0 Nickels, 20 Pennies, 
75 total cents, 1 Quarters, 2 Dimes, 0 Nickels, 30 Pennies, 
75 total cents, 2 Quarters, 2 Dimes, 0 Nickels, 5 Pennies, 
75 total cents, 1 Quarters, 1 Dimes, 0 Nickels, 40 Pennies, 
75 total cents, 2 Quarters, 1 Dimes, 0 Nickels, 15 Pennies, 
75 total cents, 1 Quarters, 0 Dimes, 0 Nickels, 50 Pennies, 
75 total cents, 2 Quarters, 0 Dimes, 0 Nickels, 25 Pennies, 
75 total cents, 3 Quarters, 0 Dimes, 0 Nickels, 0 Pennies, 
